Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Strategy,SubKeyEqualityByRef,KeyEqualityByRef,Mean,Error,StdDev,Scaled,ScaledSD,Gen 0,Allocated
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForNonPositionalSearch,True,True,21.90 ns,0.3608 ns,0.0204 ns,1.00,0.00,-,0 B
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,False,"64,452.52 ns","2,392.9369 ns",135.2054 ns,36.82,0.15,6.7749,28480 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,False,"38,758.68 ns",372.8069 ns,21.0643 ns,22.14,0.08,4.1504,17648 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,False,"13,689.25 ns",629.6116 ns,35.5742 ns,7.82,0.03,1.6022,6728 B
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,False,"1,750.51 ns",137.6973 ns,7.7802 ns,1.00,0.00,0.1984,840 B
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,True,"21,431.38 ns",558.0963 ns,31.5335 ns,"1,111.99",1.42,3.6011,15224 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,True,"11,041.89 ns",721.6856 ns,40.7766 ns,572.92,1.75,2.1515,9088 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,True,"3,022.23 ns",69.9563 ns,3.9527 ns,156.81,0.18,0.4005,1688 B
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,False,True,19.27 ns,0.1833 ns,0.0104 ns,1.00,0.00,-,0 B
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,False,121.62 ns,2.3881 ns,0.1349 ns,0.07,0.00,0.0379,160 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,False,103.48 ns,0.3113 ns,0.0176 ns,0.06,0.00,0.0380,160 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,False,156.92 ns,5.0353 ns,0.2845 ns,0.09,0.00,0.0608,256 B
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,False,"1,750.49 ns",49.2603 ns,2.7833 ns,1.00,0.00,0.1984,840 B
MultiKeyMap_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,True,125.01 ns,3.3781 ns,0.1909 ns,5.95,0.01,0.0379,160 B
MultiKeyMap_Mixed_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,True,102.45 ns,0.8109 ns,0.0458 ns,4.87,0.00,0.0380,160 B
MultiKeyMap_Only_Positional_TryGetFullKeysByPartialKey,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,True,161.03 ns,0.8049 ns,0.0455 ns,7.66,0.01,0.0608,256 B
Dictionary_TryGetValue,ShortRun,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,3,16,3,OptimizedForPositionalSearch,True,True,21.02 ns,0.3931 ns,0.0222 ns,1.00,0.00,-,0 B
